Date,Not indexed,Indexed,Impressions
2026-04-05,,,2101
2026-04-06,735,407,2714
2026-04-07,730,408,2814
2026-04-08,730,408,2831
2026-04-09,730,408,2694
2026-04-10,730,408,2182
2026-04-11,733,417,2488
2026-04-12,733,417,3948
2026-04-13,733,417,4695
2026-04-14,758,434,3878
2026-04-15,758,434,3411
2026-04-16,758,434,3401
2026-04-17,758,434,3115
2026-04-18,744,437,3261
2026-04-19,744,437,4502
2026-04-20,744,437,4776
2026-04-21,746,436,4334
2026-04-22,746,436,4274
2026-04-23,746,436,4186
2026-04-24,746,436,3390
2026-04-25,751,436,3281
2026-04-26,751,436,4402
2026-04-27,751,436,4532
2026-04-28,749,437,4381
2026-04-29,749,437,4801
2026-04-30,749,437,3632
2026-05-01,749,437,3359
2026-05-02,750,438,3587
2026-05-03,750,438,4244
2026-05-04,750,438,4381
2026-05-05,761,431,4211
2026-05-06,761,431,4024
2026-05-07,761,431,4255
2026-05-08,761,431,3874
2026-05-09,767,435,4320
2026-05-10,767,435,5135
2026-05-11,767,435,4753
2026-05-12,874,483,4660
2026-05-13,874,483,4325
2026-05-14,874,483,3945
2026-05-15,874,483,3155
2026-05-16,878,505,3837
2026-05-17,878,505,3804
2026-05-18,878,505,3870
2026-05-19,908,507,3568
2026-05-20,908,507,3368
2026-05-21,908,507,3477
2026-05-22,908,507,2863
2026-05-23,915,516,2716
2026-05-24,915,516,3124
2026-05-25,915,516,3913
2026-05-26,1042,549,3192
2026-05-27,1042,549,2546
2026-05-28,1042,549,2850
2026-05-29,1042,549,2588
2026-05-30,1039,559,2361
2026-05-31,1039,559,2406
2026-06-01,1039,559,2457
2026-06-02,1042,564,2723
2026-06-03,1042,564,2817
2026-06-04,1042,564,3095
2026-06-05,1042,564,2691
2026-06-06,1043,573,2695
2026-06-07,1043,573,3460
2026-06-08,1043,573,3397
2026-06-09,1081,585,3312
2026-06-10,1081,585,3220
2026-06-11,1081,585,3698
2026-06-12,1081,585,2896
2026-06-13,1105,610,3295
2026-06-14,1105,610,3775
2026-06-15,1105,610,3827
2026-06-16,1105,610,4943
2026-06-17,1105,610,4977
2026-06-18,1105,610,3657
2026-06-19,1105,610,2993
2026-06-20,1105,610,3392
2026-06-21,1105,610,4901
2026-06-22,1105,610,4763
2026-06-23,1105,610,4994
2026-06-24,1105,610,5010
2026-06-25,1105,610,5636
2026-06-26,1105,610,4180
2026-06-27,1105,610,4002
2026-06-28,1105,610,4950
2026-06-29,1105,610,5085
2026-06-30,1105,610,5156
